seed,updates,order,wrong_hint_accuracy_pct,control_following_pct,witness_following_pct,effect_pp
10,2000,employee_first,22.461,41.187,99.170,57.983
11,2000,employee_first,20.972,44.067,99.341,55.273
12,2000,employee_first,22.681,33.936,98.535,64.600
13,2000,employee_first,19.189,64.990,97.144,32.153
14,2000,employee_first,15.063,84.180,99.390,15.210
15,2000,employee_first,18.140,66.064,97.754,31.689
16,2000,employee_first,20.117,48.096,64.209,16.113
17,2000,employee_first,18.384,66.016,95.947,29.932
10,2000,company_first,39.014,25.195,72.314,47.119
11,2000,company_first,100.000,0.000,0.000,0.000
12,2000,company_first,25.024,51.660,94.653,42.993
13,2000,company_first,23.633,59.204,95.703,36.499
14,2000,company_first,100.000,0.000,0.024,0.024
15,2000,company_first,33.691,28.564,79.736,51.172
16,2000,company_first,99.927,0.049,0.073,0.024
17,2000,company_first,22.925,54.810,95.898,41.089
10,4000,employee_first,35.034,33.032,67.163,34.131
11,4000,employee_first,22.803,41.016,89.404,48.389
12,4000,employee_first,23.022,31.934,98.901,66.968
13,4000,employee_first,92.285,3.296,6.396,3.101
14,4000,employee_first,21.875,45.068,99.146,54.077
15,4000,employee_first,92.285,3.223,6.152,2.930
16,4000,employee_first,46.240,29.102,30.493,1.392
17,4000,employee_first,93.506,3.027,6.250,3.223
10,4000,company_first,100.000,0.024,0.000,-0.024
11,4000,company_first,100.000,0.024,0.024,0.000
12,4000,company_first,99.854,0.049,0.122,0.073
13,4000,company_first,100.000,0.000,0.000,0.000
14,4000,company_first,100.000,0.000,0.000,0.000
15,4000,company_first,99.976,0.000,0.000,0.000
16,4000,company_first,100.000,0.000,0.000,0.000
17,4000,company_first,24.048,47.681,91.187,43.506
