seed,updates,order,access,wrong_hint_accuracy_pct,effect_pp
30,2000,employee_first,usual,20.532,43.213
31,2000,employee_first,usual,21.289,55.005
32,2000,employee_first,usual,13.452,6.006
33,2000,employee_first,usual,19.653,35.010
34,2000,employee_first,usual,18.823,30.322
35,2000,employee_first,usual,99.194,0.000
36,2000,employee_first,usual,17.603,30.396
37,2000,employee_first,usual,18.359,19.531
30,2000,employee_first,open,91.919,-0.073
31,2000,employee_first,open,99.951,0.000
32,2000,employee_first,open,100.000,0.000
33,2000,employee_first,open,99.414,0.146
34,2000,employee_first,open,99.048,0.098
35,2000,employee_first,open,100.000,0.000
36,2000,employee_first,open,99.976,0.024
37,2000,employee_first,open,99.976,0.049
30,2000,company_first,usual,82.373,8.667
31,2000,company_first,usual,99.780,-0.049
32,2000,company_first,usual,99.194,0.146
33,2000,company_first,usual,35.693,52.222
34,2000,company_first,usual,22.388,36.401
35,2000,company_first,usual,30.981,19.946
36,2000,company_first,usual,99.927,0.000
37,2000,company_first,usual,99.927,0.024
30,2000,company_first,closed,21.313,39.795
31,2000,company_first,closed,17.847,29.834
32,2000,company_first,closed,18.359,28.320
33,2000,company_first,closed,20.264,37.915
34,2000,company_first,closed,17.383,26.074
35,2000,company_first,closed,20.361,42.041
36,2000,company_first,closed,24.316,0.659
37,2000,company_first,closed,23.096,43.042
30,4000,employee_first,usual,30.005,41.870
31,4000,employee_first,usual,27.417,27.612
32,4000,employee_first,usual,15.918,16.528
33,4000,employee_first,usual,37.817,18.018
34,4000,employee_first,usual,25.269,37.402
35,4000,employee_first,usual,99.683,0.000
36,4000,employee_first,usual,21.948,56.836
37,4000,employee_first,usual,48.022,-0.391
30,4000,employee_first,open,91.968,-0.439
31,4000,employee_first,open,99.902,0.000
32,4000,employee_first,open,100.000,0.000
33,4000,employee_first,open,100.000,0.000
34,4000,employee_first,open,100.000,0.000
35,4000,employee_first,open,100.000,0.000
36,4000,employee_first,open,98.950,0.073
37,4000,employee_first,open,100.000,0.000
30,4000,company_first,usual,100.000,0.000
31,4000,company_first,usual,100.000,0.000
32,4000,company_first,usual,99.976,0.000
33,4000,company_first,usual,99.976,0.000
34,4000,company_first,usual,100.000,0.000
35,4000,company_first,usual,99.634,-0.049
36,4000,company_first,usual,100.000,0.000
37,4000,company_first,usual,100.000,0.000
30,4000,company_first,closed,33.960,14.160
31,4000,company_first,closed,29.761,20.239
32,4000,company_first,closed,49.121,2.759
33,4000,company_first,closed,55.151,12.695
34,4000,company_first,closed,29.028,27.271
35,4000,company_first,closed,18.872,39.624
36,4000,company_first,closed,45.312,-0.952
37,4000,company_first,closed,42.676,5.225
