seed,updates,neither,K,V,K_and_V,V_at_query,interaction_pp
10,2000,4.688,0.830,10.303,57.227,33.789,50.781
11,2000,0.000,0.000,0.000,0.000,100.000,0.000
12,2000,3.760,0.439,13.330,53.223,10.449,43.213
13,2000,2.686,0.439,10.498,46.582,8.740,38.330
14,2000,0.000,0.000,0.000,0.000,100.000,0.000
15,2000,4.688,0.732,11.719,54.883,25.098,47.119
16,2000,0.000,0.000,0.000,0.000,99.902,0.000
17,2000,3.320,1.709,12.402,38.916,7.275,28.125
10,4000,0.000,0.000,0.000,0.000,100.000,0.000
11,4000,0.000,0.000,0.000,0.000,99.902,0.000
12,4000,0.000,0.000,0.000,0.000,99.854,0.000
13,4000,0.000,0.000,0.000,0.000,100.000,0.000
14,4000,0.000,0.000,0.000,0.000,100.000,0.000
15,4000,0.000,0.000,0.000,0.000,100.000,0.000
16,4000,0.000,0.000,0.000,0.000,100.000,0.000
17,4000,4.688,2.197,12.842,45.020,10.840,34.668
